tag,motor,duty,v_batt,v_eff,ticks,dt_s,mmps
coarse_fwd_up,A,0.0500,10.745,0.5373,0,1.0000,0.00
coarse_fwd_up,A,0.1000,10.744,1.0744,0,1.0000,0.00
coarse_fwd_up,A,0.1500,10.735,1.6102,0,1.0000,0.00
coarse_fwd_up,A,0.2000,10.732,2.1465,0,1.0000,0.00
coarse_fwd_up,A,0.2500,10.727,2.6816,1,1.0000,0.53
coarse_fwd_up,A,0.3000,10.705,3.2115,0,1.0000,0.00
coarse_fwd_up,A,0.3500,10.702,3.7456,566,1.0000,300.98
coarse_fwd_up,A,0.4000,10.682,4.2728,1064,1.0000,565.80
coarse_fwd_up,A,0.4500,10.683,4.8074,1384,1.0000,735.95
coarse_fwd_up,A,0.5000,10.672,5.3360,1662,1.0000,883.79
coarse_fwd_up,A,0.5500,10.671,5.8688,1902,1.0000,1011.42
coarse_fwd_up,A,0.6000,10.661,6.3968,2102,1.0000,1117.78
coarse_fwd_up,A,0.6500,10.654,6.9249,2268,0.9999,1206.16
coarse_fwd_up,A,0.7000,10.645,7.4518,2420,1.0000,1286.84
coarse_fwd_up,A,0.7500,10.635,7.9766,2548,1.0000,1354.98
coarse_fwd_up,A,0.8000,10.636,8.5087,2670,1.0000,1419.87
coarse_fwd_up,A,0.8500,10.638,9.0419,2780,1.0000,1478.32
coarse_fwd_up,A,0.9000,10.634,9.5703,2892,1.0000,1537.82
coarse_fwd_up,A,0.9500,10.668,10.1346,3089,1.0000,1642.58
coarse_fwd_up,A,1.0000,10.655,10.6551,3442,1.0000,1830.28
coarse_fwd_dn,A,1.0000,10.656,10.6562,3445,1.0000,1832.01
coarse_fwd_dn,A,0.9500,10.671,10.1372,3116,1.0000,1657.05
coarse_fwd_dn,A,0.9000,10.672,9.6047,2944,1.0000,1565.59
coarse_fwd_dn,A,0.8500,10.677,9.0753,2842,1.0000,1511.29
coarse_fwd_dn,A,0.8000,10.673,8.5387,2740,1.0000,1457.05
coarse_fwd_dn,A,0.7500,10.680,8.0102,2622,1.0000,1394.35
coarse_fwd_dn,A,0.7000,10.681,7.4769,2500,1.0000,1329.47
coarse_fwd_dn,A,0.6500,10.688,6.9470,2365,1.0000,1257.63
coarse_fwd_dn,A,0.6000,10.692,6.4151,2206,1.0000,1173.04
coarse_fwd_dn,A,0.5500,10.693,5.8812,1994,1.0000,1060.31
coarse_fwd_dn,A,0.5000,10.701,5.3506,1773,1.0000,942.82
coarse_fwd_dn,A,0.4500,10.705,4.8173,1529,1.0000,813.07
coarse_fwd_dn,A,0.4000,10.715,4.2858,1260,1.0000,670.03
coarse_fwd_dn,A,0.3500,10.730,3.7553,946,1.0000,503.05
coarse_fwd_dn,A,0.3000,10.733,3.2198,561,1.0000,298.31
coarse_fwd_dn,A,0.2500,10.744,2.6860,38,1.0000,20.21
coarse_fwd_dn,A,0.2000,10.757,2.1515,0,0.9999,0.00
coarse_fwd_dn,A,0.1500,10.755,1.6133,0,0.9999,0.00
coarse_fwd_dn,A,0.1000,10.763,1.0763,0,1.0000,0.00
